"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 19 03:08:40 UTC 2023","Thu Oct 19 03:09:00 UTC 2023","20535","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"failed","Thu Oct 19 05:22:21 UTC 2023","Thu Oct 19 05:23:34 UTC 2023","72883","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Oct 19 04:41:31 UTC 2023","Thu Oct 19 04:41:41 UTC 2023","9774","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Oct 19 02:36:22 UTC 2023","Thu Oct 19 02:36:45 UTC 2023","22985","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Oct 19 02:43:31 UTC 2023","Thu Oct 19 02:43:42 UTC 2023","10876","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Oct 19 02:57:41 UTC 2023","Thu Oct 19 02:58:22 UTC 2023","41448","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Oct 19 02:31:50 UTC 2023","Thu Oct 19 02:32:02 UTC 2023","12267","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Thu Oct 19 02:46:02 UTC 2023","Thu Oct 19 02:46:03 UTC 2023","988","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Oct 19 04:27:15 UTC 2023","Thu Oct 19 04:28:01 UTC 2023","45879","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Oct 19 05:17:55 UTC 2023","Thu Oct 19 05:19:27 UTC 2023","91890","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Thu Oct 19 04:30:47 UTC 2023","Thu Oct 19 04:30:50 UTC 2023","3438","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Oct 19 02:31:05 UTC 2023","Thu Oct 19 02:31:50 UTC 2023","44437","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Oct 19 04:33:46 UTC 2023","Thu Oct 19 04:34:04 UTC 2023","17978","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Oct 19 04:11:01 UTC 2023","Thu Oct 19 04:11:05 UTC 2023","3483","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Oct 19 04:01:59 UTC 2023","Thu Oct 19 04:02:13 UTC 2023","14240","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Oct 19 02:30:51 UTC 2023","Thu Oct 19 02:31:05 UTC 2023","14578","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Oct 19 02:32:02 UTC 2023","Thu Oct 19 02:32:31 UTC 2023","28956","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Oct 19 02:36:45 UTC 2023","Thu Oct 19 02:36:54 UTC 2023","8701","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Oct 19 03:08:36 UTC 2023","Thu Oct 19 03:08:40 UTC 2023","3468","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Oct 19 04:02:14 UTC 2023","Thu Oct 19 04:02:15 UTC 2023","1520","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Oct 19 02:30:15 UTC 2023","Thu Oct 19 02:30:35 UTC 2023","19640","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
